Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Another polynomial homomorphism","Acta Informatica","","6","2","10.1007/BF00268498","Robert T. Moenck","1976","http://link.springer.com/article/10.1007/BF00268498","Article"
"Early action in an Earley parser","Acta Informatica","","46","8","10.1007/s00236-009-0107-6","John AycockAngelo Borsotti","2009","http://link.springer.com/article/10.1007/s00236-009-0107-6","Article"
"Solving Stochastic Optimization in Distributed Databases Using Genetic Algorithms","Advances in Databases and Information Systems","","","","10.1007/978-3-540-30204-9_18","Viorica VargaD. DumitrescuCrina Groşan","2004","http://link.springer.com/chapter/10.1007/978-3-540-30204-9_18","Chapter"
"Minimale und m-minimale Variablenmengen für partielle Boole'sche Funktionen","Acta Informatica","","2","2","10.1007/BF00264029","Dr. H. -D. Ehrich","1973","http://link.springer.com/article/10.1007/BF00264029","Article"
"Taba Workstation: Supporting Technical Solution Through Knowledge Management of Design Rationale","Practical Aspects of Knowledge Management","","","","10.1007/11944935_6","Sávio FigueiredoGleison SantosMariano MontoniAna Regina RochaAndréa BarretoAhilton BarretoAnalia Ferreira","2006","http://link.springer.com/chapter/10.1007/11944935_6","Chapter"
"A unified view of the complexity of evaluation and interpolation","Acta Informatica","","3","2","10.1007/BF00264033","Ellis Horowitz","1974","http://link.springer.com/article/10.1007/BF00264033","Article"
"Multipass precedence analysis","Acta Informatica","","4","1","10.1007/BF00288937","Nabil A. Khabbaz","1974","http://link.springer.com/article/10.1007/BF00288937","Article"
"Forward Simulation for Data Refinement of Classes","FME 2002:Formal Methods—Getting IT Right","","","","10.1007/3-540-45614-7_27","Ana CavalcantiDavid A. Naumann","2002","http://link.springer.com/chapter/10.1007/3-540-45614-7_27","Chapter"
"Prefix-primitive annihilators of languages under some operations","Acta Informatica","","49","5","10.1007/s00236-012-0159-x","Chen-Ming FanCheng-Chih HuangChristine Chifen TsengJen-Tse Wang","2012","http://link.springer.com/article/10.1007/s00236-012-0159-x","Article"
"Hardness of equivalence checking for composed finite-state systems","Acta Informatica","","46","3","10.1007/s00236-008-0088-x","Zdeněk SawaPetr Jančar","2009","http://link.springer.com/article/10.1007/s00236-008-0088-x","Article"
"Analyse d'un algorithme de gestion simultanée mémoire centrale — disque de pagination","Acta Informatica","","3","4","10.1007/BF00263587","Prof. Dr. E. GelenbeJ. LenfantDr. D. Potier","1974","http://link.springer.com/article/10.1007/BF00263587","Article"
"Relational structures model of concurrency","Acta Informatica","","45","4","10.1007/s00236-008-0071-6","Ryszard Janicki","2008","http://link.springer.com/article/10.1007/s00236-008-0071-6","Article"
"Optimal multiprogramming","Acta Informatica","","7","2","10.1007/BF00265771","Peter J. DenningKevin C. KahnJacques LeroudierDominique PotierRajan Suri","1976","http://link.springer.com/article/10.1007/BF00265771","Article"
"A High Level Language for Structural Relations in Well-Formed Nets","Applications and Theory of Petri Nets 2005","","","","10.1007/11494744_11","Lorenzo CapraMassimiliano De PierroGiuliana Franceschinis","2005","http://link.springer.com/chapter/10.1007/11494744_11","Chapter"
"Improving Gene Selection in Microarray Data Analysis Using Fuzzy Patterns Inside a CBR System","Case-Based Reasoning Research and Development","","","","10.1007/11536406_17","Florentino Fdez-RiverolaFernando DíazM. Lourdes BorrajoJ. Carlos YáñezJuan M. Corchado","2005","http://link.springer.com/chapter/10.1007/11536406_17","Chapter"
"Inhibitionsfelder","Acta Informatica","","1","3","10.1007/BF00288689","Dr. Hermann Walter","1972","http://link.springer.com/article/10.1007/BF00288689","Article"
"EOL forms","Acta Informatica","","8","1","10.1007/BF00276185","H. A. MaurerA. SalomaaD. Wood","1977","http://link.springer.com/article/10.1007/BF00276185","Article"
"A model for data structures and its applications. I","Acta Informatica","","1","1","10.1007/BF00264290","Dr. W. M. Turski","1971","http://link.springer.com/article/10.1007/BF00264290","Article"
"Axiomatizing the algebra of net computations and processes","Acta Informatica","","33","5","10.1007/BF03036469","Pierpaolo DeganoJosé MeseguerUgo Montanari","1996","http://link.springer.com/article/10.1007/BF03036469","Article"
"Weakly context-sensitive languages as model for programming languages","Acta Informatica","","3","2","10.1007/BF00264035","P. F. Schuler","1974","http://link.springer.com/article/10.1007/BF00264035","Article"
"GIS and Multimedia Applications to Support Environmental Impact Assessment and Local Planning","Cognitive Aspects of Human-Computer Interaction for Geographic Information Systems","","","","10.1007/978-94-011-0103-5_16","Maurici Ruiz PérezJoana M. Seguí PonsJosep Blat GimenoMiquel Nadal Reig","1995","http://link.springer.com/chapter/10.1007/978-94-011-0103-5_16","Chapter"
"The clean termination of Pascal programs","Acta Informatica","","11","3","10.1007/BF00289066","D. ColemanJ. W. Hughes","1979","http://link.springer.com/article/10.1007/BF00289066","Article"
"Reachability results for timed automata with unbounded data structures","Acta Informatica","","47","5 - 6","10.1007/s00236-010-0121-8","Ruggero LanotteAndrea Maggiolo-SchettiniAngelo Troina","2010","http://link.springer.com/article/10.1007/s00236-010-0121-8","Article"
"Avoidable binary patterns in partial words","Acta Informatica","","48","1","10.1007/s00236-010-0129-0","F. Blanchet-SadriRobert MercaşSean SimmonsEric Weissenstein","2011","http://link.springer.com/article/10.1007/s00236-010-0129-0","Article"
"Syntactic complexity of context-free grammars over word monoids","Acta Informatica","","33","5","10.1007/s002360050052","Alexander Meduna","1996","http://link.springer.com/article/10.1007/s002360050052","Article"
"On the efficient implementation of conditional critical regions and the construction of monitors","Acta Informatica","","6","3","10.1007/BF00288656","Hans Albrecht Schmid","1976","http://link.springer.com/article/10.1007/BF00288656","Article"
"Representing the integers with powers of 2 and 3","Acta Informatica","","43","5","10.1007/s00236-006-0021-0","José María Amigó","2006","http://link.springer.com/article/10.1007/s00236-006-0021-0","Article"
"Job scheduling guaranteing reasonable turn-around times","Acta Informatica","","2","1","10.1007/BF00571460","Søren Lauesen","1973","http://link.springer.com/article/10.1007/BF00571460","Article"
"A Graph Theoretic Approach to Melodic Similarity","Computer Music Modeling and Retrieval","","","","10.1007/978-3-540-31807-1_20","Goffredo HausAlberto Pinto","2005","http://link.springer.com/chapter/10.1007/978-3-540-31807-1_20","Chapter"
"Efficient LL(1) error correction and recovery using only insertions","Acta Informatica","","13","2","10.1007/BF00263990","C. N. FischerD. R. MiltonS. B. Quiring","1980","http://link.springer.com/article/10.1007/BF00263990","Article"
"Performance predictions for extended paged memories","Acta Informatica","","1","1","10.1007/BF00264288","Assoc.-Prof. E. G. Coffman Jr.Prof. B. Randell","1971","http://link.springer.com/article/10.1007/BF00264288","Article"
"Ein Vollständigkeitssatz für Programme und Schaltkreise","Acta Informatica","","1","1","10.1007/BF00264292","V. Claus","1971","http://link.springer.com/article/10.1007/BF00264292","Article"
"An abstract machine theory for formal language parsers","Acta Informatica","","3","2","10.1007/BF00264037","David B. Benson","1974","http://link.springer.com/article/10.1007/BF00264037","Article"
"The LBA-problem and the deterministic tape complexity of two-way one-counter languages over a one-letter alphabet","Acta Informatica","","8","4","10.1007/BF00271345","Burkhard Monien","1977","http://link.springer.com/article/10.1007/BF00271345","Article"
"Legal informatics research in Italy: The Istituto per la Documentazione Giuridica of the Italian National Research Council","Computers and the Humanities","","24","5 - 6","10.1007/BF00186488","Elio FameliRoberta Nannucci","1990","http://link.springer.com/article/10.1007/BF00186488","Article"
"On sentential forms of context-free grammars","Acta Informatica","","2","1","10.1007/BF00571462","Arto Salomaa","1973","http://link.springer.com/article/10.1007/BF00571462","Article"
"A complete modal proof system for a subset of SCCS","Mathematical Foundations of Software Development","","","","10.1007/3-540-15198-2_16","Colin Stirling","1985","http://link.springer.com/chapter/10.1007/3-540-15198-2_16","Chapter"
"Semantic decomposition of computer programs: An aid to program testing","Acta Informatica","","4","3","10.1007/BF00288729","Paul M. Zislis","1975","http://link.springer.com/article/10.1007/BF00288729","Article"
"A practical general method for constructing LR(k) parsers","Acta Informatica","","7","3","10.1007/BF00290336","Professor David Pager","1977","http://link.springer.com/article/10.1007/BF00290336","Article"
"Applying GCS Networks to Fuzzy Discretized Microarray Data for Tumour Diagnosis","Intelligent Data Engineering and Automated Learning – IDEAL 2006","","","","10.1007/11875581_130","Fernando DíazFlorentino Fdez-RiverolaDaniel Glez-PeñaJ. M. Corchado","2006","http://link.springer.com/chapter/10.1007/11875581_130","Chapter"
"Enhanced prefetching and caching strategies for single- and multi-disk systems","Acta Informatica","","42","1","10.1007/s00236-005-0170-6","Markus Büttner","2005","http://link.springer.com/article/10.1007/s00236-005-0170-6","Article"
"Proving correctness of coroutines without history variables","Acta Informatica","","13","2","10.1007/BF00263992","Edmund Melson Clarke","1980","http://link.springer.com/article/10.1007/BF00263992","Article"
"8th Workshop on Quantitative Approaches in Object-Oriented Software Engineering (QAOOSE 2004)","Object-Oriented Technology. ECOOP 2004 Workshop Reader","","","","10.1007/978-3-540-30554-5_3","Coral CaleroFernando Brito e AbreuGeert PoelsHouari A. Sahraoui","2005","http://link.springer.com/chapter/10.1007/978-3-540-30554-5_3","Chapter"
"Van wijngaarden grammars and space complexity class EXSPACE","Acta Informatica","","8","2","10.1007/BF00289249","P. DeussenK. Mehlhorn","1977","http://link.springer.com/article/10.1007/BF00289249","Article"
"Berechnung und Programm. II","Acta Informatica","","2","1","10.1007/BF00571464","Prof. Dr. Volker Strassen","1973","http://link.springer.com/article/10.1007/BF00571464","Article"
"Axiomatics for memory allocation","Acta Informatica","","6","1","10.1007/BF00263743","Prof. A. P. Ershov","1976","http://link.springer.com/article/10.1007/BF00263743","Article"
"Complete problems for space bounded subclasses of NP","Acta Informatica","","22","4","10.1007/BF00288774","Moon Jung ChungW. Michael EvangelistIvan Hal Sudborough","1985","http://link.springer.com/article/10.1007/BF00288774","Article"
"Grundlagen einer Theorie der Datenstrukturen und Zugriffssysteme","Acta Informatica","","4","4","10.1007/BF00289613","H. -D. Ehrich","1975","http://link.springer.com/article/10.1007/BF00289613","Article"
"A note on multihead automata and context-sensitive languages","Acta Informatica","","2","3","10.1007/BF00289080","Walter J. Savitch","1973","http://link.springer.com/article/10.1007/BF00289080","Article"
"A type safe state abstraction for coordination in Java-like languages","Acta Informatica","","45","7 - 8","10.1007/s00236-008-0079-y","Ferruccio DamianiElena GiachinoPaola GianniniSophia Drossopoulou","2008","http://link.springer.com/article/10.1007/s00236-008-0079-y","Article"
"Preamble","Origins and Foundations of Computing","","","","10.1007/978-3-642-02992-9_1","Prof. Dr. Friedrich L. Bauer Professor Emeritus für Mathematik und Informatik","2010","http://link.springer.com/chapter/10.1007/978-3-642-02992-9_1","Chapter"
"Alan J. Perlis 1922–1990","Acta Informatica","","28","5","10.1007/BF01178580","A. N. Habermann","1991","http://link.springer.com/article/10.1007/BF01178580","Article"
"Effect of data representation on cost of sparse matrix operations","Acta Informatica","","7","4","10.1007/BF00289469","Donal T. MacVeigh S. J.","1977","http://link.springer.com/article/10.1007/BF00289469","Article"
"An axiomatization of graphs","Acta Informatica","","41","1","10.1007/s00236-004-0149-8","Symeon BozapalidisAntonios Kalampakas","2004","http://link.springer.com/article/10.1007/s00236-004-0149-8","Article"
"Parallel Grammars: A Phenomenology","Grammars","","6","1","10.1023/A:1024087118762","Henning Fernau","2003","http://link.springer.com/article/10.1023/A%3A1024087118762","Article"
"Structuring Mechanisms for an Object-Oriented Formal Specification Language","Software Reuse: Advances in Software Reusability","","","","10.1007/978-3-540-44995-9_24","Márcio CornélioPaulo Borba","2000","http://link.springer.com/chapter/10.1007/978-3-540-44995-9_24","Chapter"
"Addendum to Null values in nested relational databases","Acta Informatica","","28","6","10.1007/BF01463949","Mark A. RothHenry F. KorthAbraham Silberschatz","1991","http://link.springer.com/article/10.1007/BF01463949","Article"
"Inherently nonplanar automata","Acta Informatica","","6","1","10.1007/BF00263745","Ronald V. BookAshok K. Chandra","1976","http://link.springer.com/article/10.1007/BF00263745","Article"
"Regenerative simulation of response times in networks of queues with multiple job types","Acta Informatica","","12","2","10.1007/BF00266048","Donald L. IglehartGerald S. Shedler","1979","http://link.springer.com/article/10.1007/BF00266048","Article"
"Boolesche Minimalpolynome und Überdeckungsprobleme","Acta Informatica","","4","4","10.1007/BF00289615","Wolfgang J. Paul","1975","http://link.springer.com/article/10.1007/BF00289615","Article"
"Classes of systolic Y-tree automata and a comparison with systolic trellis automata","Acta Informatica","","29","6 - 7","10.1007/BF01185564","E. FachiniA. Maggiolo-SchettiniD. Sangiorgi","1992","http://link.springer.com/article/10.1007/BF01185564","Article"
"Attribute evaluation methods","Attribute Grammars, Applications and Systems","","","","10.1007/3-540-54572-7_3","Henk Alblas","1991","http://link.springer.com/chapter/10.1007/3-540-54572-7_3","Chapter"
"Bounds on algorithms for string generation","Acta Informatica","","1","4","10.1007/BF00289511","A. C. McKellarC. K. Wong","1972","http://link.springer.com/article/10.1007/BF00289511","Article"
"One-sided random context grammars","Acta Informatica","","48","3","10.1007/s00236-011-0134-y","Alexander MedunaPetr Zemek","2011","http://link.springer.com/article/10.1007/s00236-011-0134-y","Article"
"Global Optimal Image Reconstruction from Blurred Noisy Data by a Bayesian Approach","Journal of Optimization Theory and Applications","","115","1","10.1023/A:1019624913077","C. BruniR. BruniA. De SantisD. IacovielloG. Koch","2002","http://link.springer.com/article/10.1023/A%3A1019624913077","Article"
"Algorithms for fast evaluation of Boolean expressions","Acta Informatica","","4","2","10.1007/BF00288743","Yuri BreitbartAllen Reiter","1975","http://link.springer.com/article/10.1007/BF00288743","Article"
"On the power of chain rules in context free grammars","Acta Informatica","","17","4","10.1007/BF00264161","Norbert Blum","1982","http://link.springer.com/article/10.1007/BF00264161","Article"
"Zur Komplexität von Sortierproblemen","Acta Informatica","","3","3","10.1007/BF00288635","Dr. W. J. PaulProf. Dr. H. -J. Stoß","1974","http://link.springer.com/article/10.1007/BF00288635","Article"
"Optimal Packet Scheduling in Tree-Structured LEO Satellite Clusters","Mobile Networks and Applications","","9","4","10.1023/B:MONE.0000031588.69327.34","Maurizio A. BonuccelliFrancesca MartelliSusanna Pelagatti","2004","http://link.springer.com/article/10.1023/B%3AMONE.0000031588.69327.34","Article"
"Tracking Concept Drift at Feature Selection Stage in SpamHunting: An Anti-spam Instance-Based Reasoning System","Advances in Case-Based Reasoning","","","","10.1007/11805816_37","J. R. MéndezF. Fdez-RiverolaE. L. IglesiasF. DíazJ. M. Corchado","2006","http://link.springer.com/chapter/10.1007/11805816_37","Chapter"
"WCS-analysis of the Context-Sensitive","Acta Informatica","","4","4","10.1007/BF00289617","P. F. Schuler","1975","http://link.springer.com/article/10.1007/BF00289617","Article"
"Preemptive online algorithms for scheduling with machine cost","Acta Informatica","","41","6","10.1007/s00236-004-0156-9","Yiwei JiangYong He","2005","http://link.springer.com/article/10.1007/s00236-004-0156-9","Article"
"On counting and approximation","Acta Informatica","","26","4","10.1007/BF00276023","Johannes KöblerUwe SchöningJacobo Toran","1989","http://link.springer.com/article/10.1007/BF00276023","Article"
"Three-element codes with one d-primitive word","Acta Informatica","","41","2 - 3","10.1007/s00236-004-0155-x","Zheng-Zhu LiY. S. Tsai","2004","http://link.springer.com/article/10.1007/s00236-004-0155-x","Article"
"Symmetric binary B-Trees: Data structure and maintenance algorithms","Acta Informatica","","1","4","10.1007/BF00289509","Prof. Dr. Rudolf Bayer","1972","http://link.springer.com/article/10.1007/BF00289509","Article"
"Logical Cryptanalysis as a SAT Problem","Journal of Automated Reasoning","","24","1 - 2","10.1023/A:1006326723002","Fabio MassacciLaura Marraro","2000","http://link.springer.com/article/10.1023/A%3A1006326723002","Article"
"The Klaim Project: Theory and Practice","Global Computing. Programming Environments, Languages, Security, and Analysis of Systems","","","","10.1007/978-3-540-40042-4_4","Lorenzo BettiniViviana BonoRocco De NicolaGianluigi FerrariDaniele GorlaMichele LoretiEugenio MoggiRosario PuglieseEmilio TuostoBetti Venneri","2003","http://link.springer.com/chapter/10.1007/978-3-540-40042-4_4","Chapter"
"On the observational theory of the CPS-calculus","Acta Informatica","","47","2","10.1007/s00236-009-0112-9","Massimo Merro","2010","http://link.springer.com/article/10.1007/s00236-009-0112-9","Article"
"Equivalence of the Gries and Martin proof rules for procedure calls","Acta Informatica","","23","4","10.1007/BF00267863","A. BijlsmaJ. G. WiltinkP. A. Matthews","1986","http://link.springer.com/article/10.1007/BF00267863","Article"
"Axiomatic approach to total correctness of programs","Acta Informatica","","3","3","10.1007/BF00288637","Zohar MannaAmir Pnueli","1974","http://link.springer.com/article/10.1007/BF00288637","Article"
"Principles for an ETL Benchmark","Performance Evaluation and Benchmarking","","","","10.1007/978-3-642-10424-4_14","Len WyattBrian CaufieldDaniel Pol","2009","http://link.springer.com/chapter/10.1007/978-3-642-10424-4_14","Chapter"
"Considerazioni sulle unità di misura utilizzate nel sistema informatico","Elementi di informatica in diagnostica per immagini","","","","10.1007/978-88-470-1667-5_9","Eugenio FontanellaAndrea GiovagnoniGian Marco Giuseppetti","2010","http://link.springer.com/chapter/10.1007/978-88-470-1667-5_9","Chapter"
"Proof nets, garbage, and computations","Typed Lambda Calculi and Applications","","","","10.1007/3-540-62688-3_36","S. GuerriniS. MartiniA. Masini","1997","http://link.springer.com/chapter/10.1007/3-540-62688-3_36","Chapter"
"Order and metric in the stream semantics of elemental concurrency","Acta Informatica","","24","5","10.1007/BF00263291","J. W. de BakkerJ. -J. Ch. Meyer","1987","http://link.springer.com/article/10.1007/BF00263291","Article"
"Concurrent constraint programming","Algebraic and Logic Programming","","","","10.1007/3-540-58431-5_1","Catuscia Palamidessi","1994","http://link.springer.com/chapter/10.1007/3-540-58431-5_1","Chapter"
"Toward formal development of programs from algebraic specifications: Implementations revisited","Acta Informatica","","25","3","10.1007/BF00283329","Donald SannellaAndrzej Tarlecki","1988","http://link.springer.com/article/10.1007/BF00283329","Article"
"On the use of history variables","Acta Informatica","","16","1","10.1007/BF00289587","M. Clint","1981","http://link.springer.com/article/10.1007/BF00289587","Article"
"Probabilistic models of computer systems—Part I (exact results)","Acta Informatica","","7","1","10.1007/BF00265220","Prof. Dr. E. GelenbeR. R. Muntz","1976","http://link.springer.com/article/10.1007/BF00265220","Article"
"On two families of forests","Acta Informatica","","31","3","10.1007/BF01218405","Symeon BozapalidisGeorge Rahonis","1994","http://link.springer.com/article/10.1007/BF01218405","Article"
"Optimum decision trees — an optimal variable theorem and its related applications","Acta Informatica","","22","5","10.1007/BF00267042","Masahiro Miyakawa","1985","http://link.springer.com/article/10.1007/BF00267042","Article"
"A characterization of context-free string languages by directed node-label controlled graph grammars","Acta Informatica","","16","1","10.1007/BF00289591","D. JanssensG. Rozenberg","1981","http://link.springer.com/article/10.1007/BF00289591","Article"
"An on-line algorithm for variable-sized bin packing","Acta Informatica","","26","8","10.1007/BF00289157","J. Csirik","1989","http://link.springer.com/article/10.1007/BF00289157","Article"
"Personal Health Monitor","New Directions in Intelligent Interactive Multimedia Systems and Services - 2","","","","10.1007/978-3-642-02937-0_43","Almudena Vicente TocinoJuan José Andrés GutiérrezIván Álvarez NaviaFrancisco J. García PeñalvoEsteban Pérez CastrejónJosé Rafael García-Bermejo Giner","2009","http://link.springer.com/chapter/10.1007/978-3-642-02937-0_43","Chapter"
"Continuous reductions among combinatorial optimization problems","Acta Informatica","","26","8","10.1007/BF00289161","Hans Ulrich Simon","1989","http://link.springer.com/article/10.1007/BF00289161","Article"
"Exploiting colored Petri nets to decide on permutation admissibility","Acta Informatica","","46","1","10.1007/s00236-008-0084-1","Rza BashirovFabrice KordonHüseyin Lort","2009","http://link.springer.com/article/10.1007/s00236-008-0084-1","Article"
"Prescribed teams of grammars","Acta Informatica","","31","6","10.1007/BF01213205","Gheorghe PĂunGrzegorz Rozenberg","1994","http://link.springer.com/article/10.1007/BF01213205","Article"
"Pascal-clarifications and recommended extensions","Acta Informatica","","12","1","10.1007/BF00264018","Jørgen Steensgaard-Madsen","1979","http://link.springer.com/article/10.1007/BF00264018","Article"
"A binary operation on trees and an initial algebra characterization for finite tree types","Acta Informatica","","11","2","10.1007/BF00264022","Wolfgang Merzenich","1979","http://link.springer.com/article/10.1007/BF00264022","Article"
"Ambiguity and precedence in syntax description","Acta Informatica","","4","2","10.1007/BF00288747","Jay Earley","1975","http://link.springer.com/article/10.1007/BF00288747","Article"
"Analysis of space allocation in a generally fragmented linear store","Acta Informatica","","24","1","10.1007/BF00290708","C. H. C. Leung","1987","http://link.springer.com/article/10.1007/BF00290708","Article"
"A unified approach to the generation and the acception of formal languages","Acta Informatica","","9","4","10.1007/BF00289049","P. Deussen","1978","http://link.springer.com/article/10.1007/BF00289049","Article"
"Independent database schemes under functional and inclusion dependencies","Acta Informatica","","28","8","10.1007/BF01261656","Paolo AtzeniEdward P. F. Chan","1991","http://link.springer.com/article/10.1007/BF01261656","Article"
"Rational set of trees and the algebraic semantics of logic programming","Acta Informatica","","20","3","10.1007/BF01257085","G. Marque-Pucheu","1983","http://link.springer.com/article/10.1007/BF01257085","Article"
"Generating Boolean μ-expressions","Acta Informatica","","32","2","10.1007/BF01177746","Thomas Eiter","1995","http://link.springer.com/article/10.1007/BF01177746","Article"
"Proving relative lower bounds for incremental algorithms","Acta Informatica","","27","7","10.1007/BF00259471","A. Michael BermanMarvin C. PaullBarbara G. Ryder","1990","http://link.springer.com/article/10.1007/BF00259471","Article"
"Probabilistic bounds for dual bin-packing","Acta Informatica","","22","3","10.1007/BF00265685","John L. BrunoPeter J. Downey","1985","http://link.springer.com/article/10.1007/BF00265685","Article"
"Two-symbol DOS systems generating regular languages","Acta Informatica","","20","2","10.1007/BF00289411","W. Bucher","1983","http://link.springer.com/article/10.1007/BF00289411","Article"
"A semantic approach to optimize linear datalog programs","Acta Informatica","","43","5","10.1007/s00236-006-0025-9","José R. ParamáNieves R. BrisaboaMiguel R. PenabadÁngeles S. Places","2006","http://link.springer.com/article/10.1007/s00236-006-0025-9","Article"
"A Threshold Proxy Signature Scheme Using Self-Certified Public Keys","Parallel and Distributed Processing and Applications","","","","10.1007/978-3-540-30566-8_83","Qingshui XueZhenfu Cao","2005","http://link.springer.com/chapter/10.1007/978-3-540-30566-8_83","Chapter"
"Dynamic process composition and communication patterns in irregularly structured applications","Parallel and Distributed Processing","","","","10.1007/BFb0097990","C. T. H. EveraarsB. KorenF. Arbab","1999","http://link.springer.com/chapter/10.1007/BFb0097990","Chapter"
"On the number of nodes in universal networks of evolutionary processors","Acta Informatica","","43","5","10.1007/s00236-006-0024-x","Artiom AlhazovCarlos Martín-VideYurii Rogozhin","2006","http://link.springer.com/article/10.1007/s00236-006-0024-x","Article"
"Processors selection and traffic splitting in a parallel processors system","Acta Informatica","","29","5","10.1007/BF01193575","Dong-wan TchaBum-il LeeYoung-duck Lee","1992","http://link.springer.com/article/10.1007/BF01193575","Article"
"Coherence of subsumption","CAAP '90","","","","10.1007/3-540-52590-4_45","Pierre-Louis CurienGiorgio Ghelli","1990","http://link.springer.com/chapter/10.1007/3-540-52590-4_45","Chapter"
"Computational algorithms for networks of queues with rejection blocking","Acta Informatica","","26","6","10.1007/BF00263580","I. F. AkyildizHorst von Brand","1989","http://link.springer.com/article/10.1007/BF00263580","Article"
"Optimal search trees using two-way key comparisons","Acta Informatica","","31","8","10.1007/BF01178732","David Spuler","1994","http://link.springer.com/article/10.1007/BF01178732","Article"
"Improved matrix pair undecidability results","Acta Informatica","","44","3 - 4","10.1007/s00236-007-0047-y","Vesa HalavaMika Hirvensalo","2007","http://link.springer.com/article/10.1007/s00236-007-0047-y","Article"
"A class of coders based on GSM","Acta Informatica","","29","8","10.1007/BF01191896","Adrian Atanasiu","1992","http://link.springer.com/article/10.1007/BF01191896","Article"
"The choice coordination problem","Acta Informatica","","17","2","10.1007/BF00288965","Michael O. Rabin","1982","http://link.springer.com/article/10.1007/BF00288965","Article"
"Throughput of a satellite channel communication","Acta Informatica","","22","1","10.1007/BF00290142","Michael BechtoldGuy PujolleOtto Spaniol","1985","http://link.springer.com/article/10.1007/BF00290142","Article"
"Cooperative distributed dynamic load balancing","Acta Informatica","","25","6","10.1007/BF00291053","Sheldon Shen","1988","http://link.springer.com/article/10.1007/BF00291053","Article"
"MOMI: a calculus for mobile mixins","Acta Informatica","","42","2 - 3","10.1007/s00236-005-0176-0","Lorenzo BettiniBetti VenneriViviana Bono","2005","http://link.springer.com/article/10.1007/s00236-005-0176-0","Article"
"Hiding in stream semantics of uniform concurrency","Acta Informatica","","27","5","10.1007/BF00289016","J. -J. Ch. MeyerE. -R. Olderog","1990","http://link.springer.com/article/10.1007/BF00289016","Article"
"Speeding up dynamic transitive closure for bounded degree graphs","Acta Informatica","","30","4","10.1007/BF01209711","Daniel M. Yellin","1993","http://link.springer.com/article/10.1007/BF01209711","Article"
"Investigations on Hotz groups for arbitrary grammars","Acta Informatica","","22","6","10.1007/BF00263651","Volker Diekert","1986","http://link.springer.com/article/10.1007/BF00263651","Article"
"Mitteilungen der Schweizer Informatik Gesellschaft 3/2006","Informatik-Spektrum","","29","3","10.1007/s00287-006-0086-8","","2006","http://link.springer.com/article/10.1007/s00287-006-0086-8","Article"
"Ugo Montanari in a Nutshell","Concurrency, Graphs and Models","","","","10.1007/978-3-540-68679-8_1","Rocco De NicolaPierpaolo DeganoJosé Meseguer","2008","http://link.springer.com/chapter/10.1007/978-3-540-68679-8_1","Chapter"
"Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler","Acta Informatica","","16","1","10.1007/BF00289589","Manfred Stadel","1981","http://link.springer.com/article/10.1007/BF00289589","Article"
"Availability of a distributed computer system with failures","Acta Informatica","","23","6","10.1007/BF00264311","Erol GelenbeDavid FinkelSatish K. Tripathi","1986","http://link.springer.com/article/10.1007/BF00264311","Article"
"Onn-column 0, 1-matrices with allk-projections surjective","Acta Informatica","","31","3","10.1007/BF01218407","Hongzhong Wu","1994","http://link.springer.com/article/10.1007/BF01218407","Article"
"Supercube: An optimally fault tolerant network architecture","Acta Informatica","","26","8","10.1007/BF00289159","Arunabha Sen","1989","http://link.springer.com/article/10.1007/BF00289159","Article"
"Optimal merging of 2 elements with n elements","Acta Informatica","","1","2","10.1007/BF00289521","F. K. HwangS. Lin","1971","http://link.springer.com/article/10.1007/BF00289521","Article"
"LR parsing for affix grammars","Acta Informatica","","20","4","10.1007/BF00264275","Werner Pohlmann","1983","http://link.springer.com/article/10.1007/BF00264275","Article"
"Normal Forms for Partitions and Relations","Recent Trends in Algebraic Development Techniques","","","","10.1007/3-540-48483-3_3","Roberto BruniFabio GadducciUgo Montanari","1999","http://link.springer.com/chapter/10.1007/3-540-48483-3_3","Chapter"
"Information theoretic approximations for theM/G/1 retrial queue","Acta Informatica","","31","6","10.1007/BF01213207","G. I. FalinM. Martìn DìazJ. R. Artalejo","1994","http://link.springer.com/article/10.1007/BF01213207","Article"
"Constructing LR parsers for regular right part grammars","Acta Informatica","","11","2","10.1007/BF00264024","Wilf R. LaLonde","1979","http://link.springer.com/article/10.1007/BF00264024","Article"
"Using Rough Sets Theory and Minimum Description Length Principle to Improve a β-TSK Fuzzy Revision Method for CBR Systems","Advances in Artificial Intelligence – SBIA 2004","","","","10.1007/978-3-540-28645-5_43","Florentino Fdez-RiverolaFernando DíazJuan M. Corchado","2004","http://link.springer.com/chapter/10.1007/978-3-540-28645-5_43","Chapter"
"Finding a maximum matching in a permutation graph","Acta Informatica","","32","8","10.1007/BF01178659","Chongkye RheeY. Daniel Liang","1995","http://link.springer.com/article/10.1007/BF01178659","Article"
"A note on multi-queue scheduling of two tasks","Acta Informatica","","20","2","10.1007/BF00289409","Hisao Kameda","1983","http://link.springer.com/article/10.1007/BF00289409","Article"
"A synthesis of several sorting algorithms","Acta Informatica","","11","1","10.1007/BF00264597","John Darlington","1978","http://link.springer.com/article/10.1007/BF00264597","Article"
